epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,327.891,0.91871,0.57956,0.99484,0.92215,0.89135,0.89877,0.56414,1.40976,0.70681,1.14338,0.000330233,0.000330233,0.000330233
83,331.886,0.87793,0.57547,0.98734,0.91842,0.89439,0.90671,0.5645,1.40989,0.71851,1.13849,0.000313729,0.000313729,0.000313729
84,335.819,0.86795,0.55895,0.96817,0.905,0.91731,0.90101,0.57336,1.35013,0.70427,1.1117,0.000297226,0.000297226,0.000297226
85,339.613,0.89339,0.57435,1.01013,0.94303,0.90419,0.90359,0.57059,1.32157,0.69785,1.11271,0.000280723,0.000280723,0.000280723
86,343.616,0.88924,0.58821,0.99166,0.93644,0.89765,0.89849,0.57844,1.32661,0.6979,1.10781,0.00026422,0.00026422,0.00026422
87,347.535,0.90035,0.59169,0.9897,0.92376,0.90558,0.89501,0.57406,1.33366,0.70635,1.10645,0.000247716,0.000247716,0.000247716
88,351.288,0.87675,0.56225,0.97433,0.90687,0.93655,0.89747,0.57575,1.32464,0.69798,1.11257,0.000231213,0.000231213,0.000231213
89,355.271,0.86112,0.55922,0.98319,0.90672,0.92925,0.8998,0.58234,1.31059,0.69662,1.10902,0.00021471,0.00021471,0.00021471
90,359.386,0.87876,0.57147,0.98978,0.90065,0.92488,0.90342,0.5893,1.30917,0.70282,1.10455,0.000198206,0.000198206,0.000198206
91,366.937,0.8994,0.66981,1.01623,0.902,0.92451,0.90211,0.58601,1.33139,0.70315,1.11119,0.000181703,0.000181703,0.000181703
92,371.237,0.83954,0.57557,0.95923,0.93349,0.88836,0.89675,0.57462,1.3743,0.72448,1.12553,0.0001652,0.0001652,0.0001652
93,375.132,0.88976,0.57817,0.98134,0.92737,0.88836,0.8956,0.58,1.3473,0.72631,1.11946,0.000148696,0.000148696,0.000148696
94,378.979,0.84298,0.55716,0.98434,0.92684,0.88836,0.89251,0.583,1.33785,0.71927,1.11418,0.000132193,0.000132193,0.000132193
95,382.584,0.84098,0.55707,0.97059,0.9215,0.90041,0.89175,0.58151,1.33688,0.71569,1.11764,0.00011569,0.00011569,0.00011569
96,386.529,0.81415,0.56215,0.97607,0.91777,0.90041,0.89341,0.57642,1.34206,0.70601,1.12494,9.91865e-05,9.91865e-05,9.91865e-05
97,390.272,0.80564,0.52954,0.97155,0.91848,0.90041,0.89296,0.56892,1.34072,0.71437,1.12193,8.26832e-05,8.26832e-05,8.26832e-05
98,394.418,0.78182,0.52816,0.9681,0.9186,0.89439,0.89014,0.56997,1.34311,0.71994,1.12341,6.61799e-05,6.61799e-05,6.61799e-05
99,398.139,0.8242,0.53898,0.98653,0.92377,0.89711,0.88989,0.56942,1.3391,0.71829,1.11978,4.96766e-05,4.96766e-05,4.96766e-05
100,401.877,0.82568,0.5509,0.9801,0.92413,0.8994,0.89129,0.56933,1.3317,0.71634,1.11548,3.31733e-05,3.31733e-05,3.31733e-05
